author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Метражи group;real_estate_agent;https://www.cian.ru/sale/flat/308167237/;Москва;5;7;1;34,6;9000000;1978;18,0;8 ;Северное Изйлово;15-я Парковая ;Щёлковская;
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298254403/;Москва;4;33;1;42,9;23600000;-1;22,9 ;15 ;Останкинский; Годовикова;Алексеевская;iLove
Зиля Карава;realtor;https://www.cian.ru/sale/flat/263316279/;Москва;1;16;1;37,7;9450000;1982;-1,0;-1,0;Чертаново Центральное;Варшавское шоссе;Пражская;
Ога-Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/303983520/;Москва;13;17;1;37,6;11000000;2018;17,6 ;15 ;; Бачуринская;Бачуринская;Новая Звезда
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/307043068/;Москва;9;28;1;34,7;14500000;2023;9,1 ;14,2 ;Богородское;Открытое шоссе;Бульвар Рокоссовского;Талисн на Рокоссовского
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/297087850/;Москва;51;75;1;123,0;85000000;-1;69,0;15 ;Пресненский;1-й Красногвардейский проезд;Деловой центр;Меркурий Тауэр
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/309128668/;Москва;5;9;1;34,1;10990000;1970;17,1 ;8,1 ;Чертаново Центральное;Чертановская ;Пражская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/301859610/;Москва;13;24;1;36,8;17750000;-1;11,4 ;17,7 ;Донской;;Верхние котлы;Новоданиловская 8 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303818206/;Москва;5;17;1;50,2;34900000;2024;16,1 ;16,8 ;Гагаринский;Ленинский проспект;Ленинский проспект;Lunar
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/308102979/;Москва;4;17;1;40,0;9700000;1987;19 ;7 ;Солнцево;Солнцевский проспект;Говорово;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/308951949/;Москва;40;63;1;51,0;57600000;-1;45 ;-1,0;Пресненский;1-й Красногвардейский проезд;Москва-Сити;NEVA TOWERS
ID 88424902;unknown;https://www.cian.ru/sale/flat/308261330/;Москва;2;10;1;36,0;9870000;2021;-1,0;12 ;; Золотошвейная;Филатов Луг;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303256815/;Москва;14;16;1;34,6;14400000;1978;19,5 ;10 ;Хорошевский; Поликарпова;Беговая;
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846922/;Москва;1;3;1;39,6;6930000;2023;-1,0;-1,0;; Генерала Донскова;Апрелевка;Борисоглебское
