author_type;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;underground;price_per_sqm
real_estate_agent;Москва;5;7;1;34;9000000;1978;18;8;Северное Измайлово;Щёлковская;264706
real_estate_agent;Москва;4;33;1;42;23600000;-1;23;15;Останкинский;Алексеевская;561905
realtor;Москва;1;16;1;37;9450000;1982;-1;-1;Чертаново Центральное;Пражская;255405
real_estate_agent;Москва;13;17;1;37;11000000;2018;18;15;;Бачуринская;297297
real_estate_agent;Москва;9;28;1;34;14500000;2023;9;14;Богородское;Бульвар Рокоссовского;426471
real_estate_agent;Москва;51;75;1;123;85000000;-1;69;15;Пресненский;Деловой центр;691057
real_estate_agent;Москва;5;9;1;34;10990000;1970;17;8;Чертаново Центральное;Пражская;323235
real_estate_agent;Москва;13;24;1;36;17750000;-1;11;18;Донской;Верхние котлы;493056
real_estate_agent;Москва;5;17;1;50;34900000;2024;16;17;Гагаринский;Ленинский проспект;698000
real_estate_agent;Москва;4;17;1;40;9700000;1987;19;7;Солнцево;Говорово;242500
real_estate_agent;Москва;40;63;1;51;57600000;-1;45;-1;Пресненский;Москва-Сити;1129412
unknown;Москва;2;10;1;36;9870000;2021;-1;12;;Филатов Луг;274167
real_estate_agent;Москва;14;16;1;34;14400000;1978;20;10;Хорошевский;Беговая;423529
developer;Москва;1;3;1;39;6930000;2023;-1;-1;;Апрелевка;177692
developer;Москва;1;3;1;40;7198400;2022;-1;-1;ТАО (Троицкий);;179960
realtor;Москва;14;14;1;40;7380000;2009;17;9;Южное Бутово;Щербинка;184500
developer;Москва;1;3;1;45;7435800;2023;-1;-1;;Апрелевка;165240
developer;Москва;2;3;1;45;7371000;2023;-1;-1;ТАО (Троицкий);;163800
developer;Москва;8;9;1;57;117936000;2023;-1;-1;Тверской;Маяковская;2069053
real_estate_agent;Москва;9;40;1;41;32000000;-1;23;5;Хорошевский;ЦСКА;780488
real_estate_agent;Москва;13;41;1;41;31000000;-1;23;5;Хорошевский;Аэропорт;756098
real_estate_agent;Москва;3;20;1;59;61800000;2023;39;15;Пресненский;Улица 1905 года;1047458
homeowner;Москва;10;10;1;38;11280000;1994;21;8;Выхино-Жулебино;Лермонтовский проспект;296842
developer;Москва;5;21;1;65;82172522;2023;19;25;Пресненский;Улица 1905 года;1264193
real_estate_agent;Москва;75;95;1;57;47000000;2017;37;10;Пресненский;Деловой центр;824561
realtor;Москва;21;30;1;36;13000000;2024;10;19;Южнопортовый;Угрешская;361111
realtor;Москва;4;6;1;59;101785250;2024;49;-1;Мещанский;Кузнецкий мост;1725174
real_estate_agent;Москва;1;10;1;31;14500000;-1;20;6;Раменки;Ломоносовский проспект;467742
developer;Москва;2;16;1;45;23274675;2024;16;15;Филевский парк;Фили;517215
homeowner;Москва;10;22;1;38;12600000;2005;19;10;Солнцево;Солнцево;331579
real_estate_agent;Москва;7;20;1;439;20252300;2024;11;19;Даниловский;Тульская;46133
realtor;Москва;15;28;1;40;30500000;2022;16;18;Раменки;Раменки;762500
real_estate_agent;Москва;2;44;1;48;25000000;2018;30;3;Пресненский;Улица 1905 года;520833
real_estate_agent;Москва;4;26;1;46;34000000;2021;-1;-1;Очаково-Матвеевское;Давыдково;739130
real_estate_agent;Москва;3;17;1;35;14990000;2022;24;9;;Потапово;428286
developer;Москва;7;13;1;45;27171760;2024;-1;-1;Южнопортовый;Дубровка;603817
real_estate_agent;Москва;13;41;1;43;23900000;-1;21;17;Хорошево-Мневники;Шелепиха;555814
realtor;Москва;2;12;1;38;15000000;1985;21;8;Раменки;Минская;394737
developer;Москва;2;14;1;72;139410000;2024;14;31;Якиманка;Полянка;1936250
real_estate_agent;Москва;18;22;1;43;19200000;2022;22;12;Щукино;Стрешнево;446512
real_estate_agent;Москва;18;22;1;43;19500000;2022;24;14;Щукино;Стрешнево;453488
real_estate_agent;Москва;4;5;1;144;3450000;1930;10;4;Перово;Авиамоторная;23958
official_representative;Москва;1;9;1;37;7700000;1966;19;6;Гольяново;Черкизовская;208108
developer;Москва;4;6;1;50;57228000;2024;12;24;Замоскворечье;Новокузнецкая;1144560
realtor;Москва;3;5;1;30;8390000;2021;-1;8;;Филатов Луг;279667
real_estate_agent;Москва;11;12;1;34;9350000;1966;20;10;Северное Измайлово;Щёлковская;275000
realtor;Москва;2;9;1;318;11990000;1962;22;5;Кунцево;Молодёжная;37704
real_estate_agent;Москва;4;6;1;35;23000000;1902;-1;-1;Басманный;Курская;657143
homeowner;Москва;15;17;1;37;9000000;2015;19;7;;Рассказовка;243243
real_estate_agent;Москва;16;17;1;305;6100000;2022;12;7;;Ватутинки;20000
unknown;Москва;22;32;1;37;17780000;2023;-1;10;Нижегородский;Нижегородская;480541
realtor;Москва;5;12;1;33;14500000;1964;17;4;Беговой;Динамо;439394
realtor;Москва;8;22;1;40;13290000;2000;-1;10;Марьино;Люблино;332250
realtor;Москва;14;25;1;39;19480000;-1;13;15;Щукино;Октябрьское поле;499487
real_estate_agent;Москва;10;19;1;60;27500000;-1;25;18;Хорошево-Мневники;Народное Ополчение;458333
real_estate_agent;Москва;10;34;1;64;51000000;2023;42;10;Дорогомилово;Поклонная;796875
real_estate_agent;Москва;21;24;1;40;30000000;2022;26;10;Хорошевский;Полежаевская;750000
real_estate_agent;Москва;24;49;1;43;27800000;2021;17;18;Раменки;Аминьевская;646512
developer;Москва;23;26;1;35;21910000;2024;11;16;Марфино;Бутырская;626000
real_estate_agent;Москва;33;41;1;46;21000000;2024;18;23;Хорошево-Мневники;Шелепиха;456522
real_estate_agent;Москва;7;48;1;55;33000000;2024;27;8;Ростокино;Ботанический сад;600000
homeowner;Москва;5;10;1;40;28900000;-1;22;8;Дорогомилово;Кутузовская;722500
real_estate_agent;Москва;31;36;1;49;24990000;2019;25;19;Хорошево-Мневники;Шелепиха;510000
real_estate_agent;Москва;3;5;1;31;18500000;1958;-1;-1;Пресненский;Маяковская;596774
real_estate_agent;Москва;5;24;1;39;19800000;2005;-1;12;Фили-Давыдково;Славянский бульвар;507692
developer;Москва;49;66;1;44;44154000;2020;-1;-1;Пресненский;Москва-Сити;1003500
homeowner;Москва;3;17;1;38;13900000;2006;19;7;Свиблово;Свиблово;365789
real_estate_agent;Москва;12;28;1;45;20500000;2024;14;16;Даниловский;ЗИЛ;455556
real_estate_agent;Москва;4;6;1;31;28500000;2023;15;6;Хамовники;Парк Культуры;919355
real_estate_agent;Москва;18;35;1;48;21700000;2022;26;18;Раменки;Аминьевская;452083
developer;Москва;7;13;1;58;37642247;2024;45;9;Даниловский;Тульская;649004
real_estate_agent;Москва;5;21;1;48;21250000;2024;16;16;Щукино;Щукинская;442708
real_estate_agent;Москва;21;22;1;39;11300000;1985;19;10;Братеево;Алма-Атинская;289744
real_estate_agent;Москва;3;14;1;43;12000000;1989;20;9;Марьино;Марьино;279070
real_estate_agent;Москва;2;9;1;32;8900000;1971;21;6;Богородское;Преображенская площадь;278125
real_estate_agent;Москва;4;13;1;43;37500000;-1;14;17;Пресненский;Улица 1905 года;872093
real_estate_agent;Москва;15;15;1;40;11890000;2018;20;10;;Прокшино;297250
real_estate_agent;Москва;4;7;1;33;5600000;2024;13;11;;Рассказовка;169697
realtor;Москва;2;9;1;32;8100000;1970;20;6;Чертаново Центральное;Южная;253125
developer;Москва;11;16;1;42;8110408;2024;14;13;;Филатов Луг;193105
developer;Москва;16;16;1;38;8254881;2024;10;11;;Филатов Луг;217234
developer;Москва;2;16;1;38;8275112;2024;11;11;;Филатов Луг;217766
developer;Москва;3;15;1;38;8298207;2024;11;19;;Щербинка;218374
real_estate_agent;Москва;2;2;1;151;8300000;1900;8;2;Басманный;Курская;54967
developer;Москва;1;8;1;34;8379000;2024;11;16;Бибирево;Алтуфьево;246441
developer;Москва;17;17;1;35;8522618;2024;17;11;;Щербинка;243503
developer;Москва;11;17;1;36;8631143;2024;11;18;;Щербинка;239754
developer;Москва;3;10;1;41;8645092;2024;11;21;;Щербинка;210856
developer;Москва;7;9;1;34;8738248;2024;12;12;;Бунинская аллея;257007
homeowner;Москва;8;9;1;56;9200000;2018;20;23;;Крёкшино;164286
developer;Москва;3;7;1;32;9245023;2024;9;16;;Рассказовка;288907
developer;Москва;14;14;1;41;9258414;2024;11;23;;Филатов Луг;225815
developer;Москва;3;6;1;31;9440052;2024;9;14;;Рассказовка;304518
realtor;Москва;8;27;1;33;9500000;2012;16;10;;Потапово;287879
developer;Москва;14;15;1;46;9726270;2024;14;20;;Щербинка;211441
unknown;Москва;9;10;1;38;9700000;2007;18;9;Южное Бутово;Бунинская аллея;255263
developer;Москва;14;20;1;306;9662241;2024;10;-1;;Новопеределкино;31576
realtor;Москва;16;16;1;38;9800000;1978;20;10;Теплый Стан;Генерала Тюленева;257895
real_estate_agent;Москва;12;12;1;38;9890000;1981;21;9;Бибирево;Бибирево;260263
developer;Москва;5;15;1;35;9897247;2024;10;17;;Щербинка;282778
realtor;Москва;9;14;1;41;9850000;1973;20;10;Печатники;Люблино;240244
developer;Москва;5;5;1;35;9899895;2024;11;10;;Рассказовка;282854
developer;Москва;7;7;1;38;10080668;2024;11;19;;Рассказовка;265281
developer;Москва;2;7;1;48;10058220;2024;20;20;;Рассказовка;209546
developer;Москва;2;5;1;43;10141321;2024;14;19;;Рассказовка;235845
developer;Москва;14;14;1;37;10197820;2024;11;14;;Кедровая;275617
homeowner;Москва;5;9;1;33;10400000;1964;21;6;Кузьминки;Кузьминки;315152
